id,name,iso_country,iso_region,municipality,iata_code
6924,Ocean Reef Club Airport,US,US-FL,Key Largo,OCA
7063,Pilot Station Airport,US,US-AK,Pilot Station,PQS
7139,Crested Butte Airpark,US,US-CO,Crested Butte,CSE
7545,LBJ Ranch Airport,US,US-TX,Johnson City,JCY
7866,Loring Seaplane Base,US,US-AK,Loring,WLR
7977,Nunapitchuk Airport,US,US-AK,Nunapitchuk,NUP
7994,Port Alice Seaplane Base,US,US-AK,Port Alice,PTC
8126,Icy Bay Airport,US,US-AK,Icy Bay,ICY
8159,Port Protection Seaplane Base,US,US-AK,Port Protection,PPV
8383,Kalakaket Creek AS Airport,US,US-AK,Kalakaket Creek,KKK
8566,Dunsmuir Muni-Mott Airport,US,US-CA,Dunsmuir,MHS
8753,Chase Field Industrial Airport,US,US-TX,Beeville,NIR
8774,Grand Canyon Bar Ten Airstrip,US,US-AZ,Littlefield,GCT
8775,Ellamar Seaplane Base,US,US-AK,Ellamar,ELW
9287,Lime Village Airport,US,US-AK,Lime Village,LVD
9294,Hog River Airport,US,US-AK,Hogatza,HGZ
20770,Ed-Air Airport,US,US-IN,Oaktown,OTN
9485,Telida Airport,US,US-AK,Telida,TLF
9776,Eagle Air Park,US,US-TX,Brazoria,BZT
9902,Entrance Island Seaplane Base,US,US-AK,Entrance Island,HBH
9906,False Island Seaplane Base,US,US-AK,False Island,FAK
10309,Blakely Island Airport,US,US-WA,Blakely Island,BYW
10366,Drift River Airport,US,US-AK,Kenai,DRF
10532,Rinkenberger Restricted Landing Area,US,US-IL,Bradford,BDF
10856,Roy Otten Memorial Airfield,US,US-MO,Versailles,VRS
10905,Golden Horn Lodge Seaplane Base,US,US-AK,Golden Horn Lodge,GDH
11318,Atmautluak Airport,US,US-AK,Atmautluak,ATT
11320,Livengood Camp Airport,US,US-AK,Livengood,LIV
11485,Pedro Bay Airport,US,US-AK,Pedro Bay,PDB
11487,Ouzinkie Airport,US,US-AK,Ouzinkie,KOZ
11488,Tununak Airport,US,US-AK,Tununak,TNK
11820,Hyder Seaplane Base,US,US-AK,Hyder,WHD
11900,Minto Al Wright Airport,US,US-AK,Minto,MNT
12114,Tokeen Seaplane Base,US,US-AK,Tokeen,TKI
12243,Aleknagik / New Airport,US,US-AK,Aleknagik,WKK
12429,Ketchikan Harbor Seaplane Base,US,US-AK,Ketchikan,WFB
12560,Naknek Airport,US,US-AK,Naknek,NNK
12764,Lake Brooks Seaplane Base,US,US-AK,Katmai National Park,BKF
12995,Southern Seaplane Airport,US,US-LA,Belle Chasse,BCS
13208,Catalina Air-Sea Terminal Heliport,US,US-CA,San Pedro,SPQ
13405,East 34th Street Heliport,US,US-NY,New York,TSS
13407,New York Skyports Inc Seaplane Base,US,US-NY,New York,QNY
13485,Earl Henry Airport,US,US-OK,Blackwell,BWL
13974,Yes Bay Lodge Seaplane Base,US,US-AK,Yes Bay,WYB
13997,Center Island Airport,US,US-WA,Center Island,CWS
14173,Tatitlek Airport,US,US-AK,Tatitlek,TEK
14270,Pine Island Airport,US,US-NC,Corolla,DUF
14453,Stuart Island Airpark,US,US-WA,Friday Harbor,SSW
